dataset name,error,v-score,r-score
DI_1000000_500_zipf-invzipf3,5,19.86607143,61.93006978
DI_1000000_500_zipf-invzipf3,10,11.16071429,49.2589547
DI_1000000_500_zipf-invzipf3,20,8.705357143,43.63698888
DI_1000000_500_zipf-invzipf4,5,18.22323462,62.40718699
DI_1000000_500_zipf-invzipf4,10,12.98405467,58.09013814
DI_1000000_500_zipf-invzipf4,20,7.517084282,42.74849439
DI_1000000_500_zipf-invzipf5,5,3.863636364,21.00136622
DI_1000000_500_zipf-invzipf5,10,3.863636364,19.8403924
DI_1000000_500_zipf-invzipf5,20,3.636363636,22.58024002
DI_1000000_500_zipf-invzipf6,5,22.81879195,66.37856178
DI_1000000_500_zipf-invzipf6,10,14.31767338,60.15115655
DI_1000000_500_zipf-invzipf6,20,7.382550336,42.22003268
DI_1000000_500_zipf-invzipf7,5,13.51351351,55.13652536
DI_1000000_500_zipf-invzipf7,10,9.90990991,48.68971439
DI_1000000_500_zipf-invzipf7,20,7.882882883,43.42735567
DI_1000000_500_zipf-invzipf8,5,9.589041096,39.13825609
DI_1000000_500_zipf-invzipf8,10,7.99086758,36.37850813
DI_1000000_500_zipf-invzipf8,20,8.447488584,40.12268073
DI_1000000_500_zipf-invzipf9,5,14.922049,60.39076518
DI_1000000_500_zipf-invzipf9,10,14.69933185,59.78555356
DI_1000000_500_zipf-invzipf9,20,5.345211581,44.72506196
DI_1000000_10_lin-lin1,5,100,100
DI_1000000_10_lin-lin1,10,100,100
DI_1000000_10_lin-lin1,20,75,60.38364657
DI_1000000_10_lin-lin2,5,100,100
DI_1000000_10_lin-lin2,10,100,100
DI_1000000_10_lin-lin2,20,75,73.11903912
DI_1000000_10_lin-lin3,5,100,100
DI_1000000_10_lin-lin3,10,100,100
DI_1000000_10_lin-lin3,20,100,100
DI_1000000_10_lin-lin4,5,100,100
DI_1000000_10_lin-lin4,10,100,100
DI_1000000_10_lin-lin4,20,100,100
DI_1000000_10_lin-lin7,5,100,100
DI_1000000_10_lin-lin7,10,100,100
DI_1000000_10_lin-lin7,20,100,100
DI_1000000_10_lin-lin8,5,100,100
DI_1000000_10_lin-lin8,10,75,47.35030471
DI_1000000_10_lin-lin8,20,100,100
DI_1000000_10_lin-lin9,5,100,100
